month,percentage_above_15_MJ
1,78.85304659498208
2,89.76240391334731
3,96.2485065710872
4,95.56378600823045
5,85.00199123855037
6,88.41294565593631
7,89.34971838197644
8,88.48779655231269
9,85.91710758377425
10,76.10513739545998
11,61.32275132275132
12,59.2763270182625
