Anuradhapura,2017,9,179.00,26.83
Anuradhapura,2018,1,60.00,24.27
Anuradhapura,2018,10,430.00,25.64
Anuradhapura,2018,11,364.00,25.15
Anuradhapura,2018,12,177.00,24.95
Anuradhapura,2018,2,86.00,25.41
Anuradhapura,2018,3,87.00,27.37
Anuradhapura,2018,4,116.00,28.01
Anuradhapura,2018,5,195.00,26.96
Anuradhapura,2018,6,190.00,27.18
Anuradhapura,2018,7,60.00,27.89
Anuradhapura,2018,8,96.00,27.56
Anuradhapura,2018,9,169.00,27.70
Anuradhapura,2019,1,58.00,24.44
Anuradhapura,2019,10,365.00,25.70
Anuradhapura,2019,11,252.00,25.93
Anuradhapura,2019,12,305.00,25.18
Anuradhapura,2019,2,158.00,26.12
Anuradhapura,2019,3,41.00,28.21
Anuradhapura,2019,4,99.00,28.78
Anuradhapura,2019,5,68.00,29.04
Anuradhapura,2019,6,85.00,28.98
Anuradhapura,2019,7,81.00,28.66
Anuradhapura,2019,8,252.00,27.56
Anuradhapura,2019,9,211.00,27.21
Anuradhapura,2020,1,100.00,25.28
Anuradhapura,2020,10,151.00,27.35
Anuradhapura,2020,11,324.00,25.94
Anuradhapura,2020,12,362.00,24.71
Anuradhapura,2020,2,34.00,26.04
Anuradhapura,2020,3,33.00,27.82
Anuradhapura,2020,4,141.00,28.43
Anuradhapura,2020,5,161.00,28.06
Anuradhapura,2020,6,146.00,27.98
Anuradhapura,2020,7,158.00,27.55
Anuradhapura,2020,8,124.00,27.67
Anuradhapura,2020,9,264.00,26.74
Anuradhapura,2021,1,313.00,24.69
Anuradhapura,2021,10,292.00,26.18
Anuradhapura,2021,11,397.00,25.02
Anuradhapura,2021,12,127.00,25.27
Anuradhapura,2021,2,92.00,25.07
Anuradhapura,2021,3,98.00,26.76
Anuradhapura,2021,4,184.00,27.68
Anuradhapura,2021,5,261.00,27.17
Anuradhapura,2021,6,136.00,27.40
Anuradhapura,2021,7,137.00,27.71
Anuradhapura,2021,8,113.00,27.63
Anuradhapura,2021,9,173.00,27.51
Anuradhapura,2022,1,125.00,25.07
Anuradhapura,2022,10,242.00,25.85
Anuradhapura,2022,11,223.00,25.06
Anuradhapura,2022,12,243.00,24.71
Anuradhapura,2022,2,99.00,25.10
Anuradhapura,2022,3,93.00,26.79
Anuradhapura,2022,4,209.00,26.66
Anuradhapura,2022,5,200.00,27.35
Anuradhapura,2022,6,115.00,27.29
Anuradhapura,2022,7,114.00,27.37
Anuradhapura,2022,8,153.00,26.88
Anuradhapura,2022,9,119.00,26.99
Anuradhapura,2023,1,153.00,23.98
Anuradhapura,2023,10,268.00,26.19
Anuradhapura,2023,11,376.00,25.44
Anuradhapura,2023,12,323.00,25.38
Anuradhapura,2023,2,113.00,24.92
Anuradhapura,2023,3,109.00,26.63
Anuradhapura,2023,4,104.00,27.74
Anuradhapura,2023,5,129.00,27.61
Anuradhapura,2023,6,70.00,28.23
Anuradhapura,2023,7,80.00,28.22
Anuradhapura,2023,8,53.00,28.83
Anuradhapura,2023,9,192.00,27.33
Anuradhapura,2024,1,187.00,25.22
Anuradhapura,2024,2,63.00,26.77
Anuradhapura,2024,3,53.00,28.08
Anuradhapura,2024,4,105.00,29.29
Anuradhapura,2024,5,310.00,27.96
Anuradhapura,2024,6,42.00,27.48
Badulla,2015,1,103.00,21.32
Badulla,2015,10,321.00,22.80
Badulla,2015,11,301.00,22.23
Badulla,2015,12,259.00,21.91
Badulla,2015,2,155.00,21.20
Badulla,2015,3,119.00,22.52
Badulla,2015,4,262.00,23.34
Badulla,2015,5,172.00,24.15
Badulla,2015,6,84.00,24.50
Badulla,2015,7,62.00,25.42
Badulla,2015,8,107.00,25.34
Badulla,2015,9,161.00,24.15
Badulla,2016,1,78.00,21.76
Badulla,2016,10,164.00,25.64
Badulla,2016,11,279.00,22.37
Badulla,2016,12,142.00,22.16
Badulla,2016,2,113.00,22.34
Badulla,2016,3,93.00,24.06
Badulla,2016,4,136.00,25.51
Badulla,2016,5,290.00,24.74
Badulla,2016,6,44.00,25.33
Badulla,2016,7,73.00,25.38
Badulla,2016,8,42.00,25.45
Badulla,2016,9,42.00,26.23
Badulla,2017,1,286.00,20.27
Badulla,2017,10,215.00,23.78
Badulla,2017,11,339.00,21.84
Badulla,2017,12,328.00,21.33
Badulla,2017,2,236.00,20.90
Badulla,2017,3,179.00,22.43
Badulla,2017,4,67.00,24.33
Badulla,2017,5,131.00,25.39
Badulla,2017,6,106.00,25.66
Badulla,2017,7,108.00,26.10
Badulla,2017,8,105.00,25.11
Badulla,2017,9,148.00,24.03
Badulla,2018,1,224.00,20.27
Badulla,2018,10,346.00,22.42
Badulla,2018,11,387.00,21.92
Badulla,2018,12,320.00,21.19
Badulla,2018,2,275.00,21.10
Badulla,2018,3,255.00,22.43
Badulla,2018,4,187.00,22.97
Badulla,2018,5,206.00,23.51
Badulla,2018,6,112.00,24.32
Badulla,2018,7,119.00,24.37
Badulla,2018,8,138.00,24.48
Badulla,2018,9,166.00,24.54
Badulla,2019,1,404.00,20.58
Badulla,2019,10,377.00,22.28
Badulla,2019,11,367.00,22.26
Badulla,2019,12,450.00,21.70
Badulla,2019,2,373.00,21.93
Badulla,2019,3,152.00,22.42
Badulla,2019,4,185.00,23.88
Badulla,2019,5,124.00,25.15
Badulla,2019,6,77.00,25.91
Badulla,2019,7,99.00,25.54
Badulla,2019,8,145.00,24.95
Badulla,2019,9,226.00,23.84
Badulla,2020,1,318.00,21.28
Badulla,2020,10,88.00,24.29
Badulla,2020,11,387.00,22.52
Badulla,2020,12,457.00,21.67
Badulla,2020,2,350.00,21.53
Badulla,2020,3,108.00,23.08
Badulla,2020,4,223.00,23.73
Badulla,2020,5,191.00,24.64
Badulla,2020,6,122.00,24.93
Badulla,2020,7,160.00,24.29
Badulla,2020,8,117.00,24.90
Badulla,2020,9,146.00,23.85
Badulla,2021,1,451.00,21.30
Badulla,2021,10,218.00,23.05
Badulla,2021,11,324.00,22.16
Badulla,2021,12,384.00,21.36
Badulla,2021,2,324.00,21.33
Badulla,2021,3,232.00,22.06
Badulla,2021,4,163.00,23.20
Badulla,2021,5,240.00,23.86
Badulla,2021,6,133.00,23.73
Badulla,2021,7,144.00,24.09
Badulla,2021,8,197.00,23.95
Badulla,2021,9,186.00,23.83
Badulla,2022,1,367.00,21.06
Badulla,2022,10,256.00,22.76
Badulla,2022,11,281.00,21.51
Badulla,2022,12,306.00,20.98
Badulla,2022,2,212.00,21.15
Badulla,2022,3,204.00,22.46
Badulla,2022,4,229.00,22.71
Badulla,2022,5,160.00,24.66
Badulla,2022,6,141.00,23.93
Badulla,2022,7,144.00,24.22
Badulla,2022,8,183.00,23.88
Badulla,2022,9,139.00,23.60
Badulla,2023,1,423.00,20.10
Badulla,2023,10,350.00,23.02
Badulla,2023,11,367.00,22.61
Badulla,2023,12,489.00,22.37
Badulla,2023,2,335.00,21.04
Badulla,2023,3,289.00,22.08
Badulla,2023,4,183.00,23.05
Badulla,2023,5,164.00,24.09
Badulla,2023,6,151.00,25.03
Badulla,2023,7,133.00,25.02
Badulla,2023,8,125.00,25.59
Badulla,2023,9,221.00,24.02
Badulla,2024,1,434.00,21.68
Badulla,2024,2,287.00,22.37
Badulla,2024,3,106.00,23.40
Badulla,2024,4,159.00,24.64
Badulla,2024,5,252.00,25.53
Badulla,2024,6,53.00,25.16
Bandarawela,2015,1,89.00,19.88
Bandarawela,2015,10,399.00,20.91
Bandarawela,2015,11,380.00,20.53
Bandarawela,2015,12,303.00,20.30
Bandarawela,2015,2,163.00,19.63
Bandarawela,2015,3,131.00,20.69
Bandarawela,2015,4,278.00,21.11
Bandarawela,2015,5,271.00,21.82
Bandarawela,2015,6,259.00,22.02
Bandarawela,2015,7,305.00,22.36
Bandarawela,2015,8,284.00,22.08
Bandarawela,2015,9,347.00,21.53
Bandarawela,2016,1,109.00,20.44
Bandarawela,2016,10,255.00,21.84
Bandarawela,2016,11,277.00,20.45
Bandarawela,2016,12,128.00,20.14
Bandarawela,2016,2,106.00,21.07
Bandarawela,2016,3,61.00,22.86
Bandarawela,2016,4,161.00,22.73
Bandarawela,2016,5,420.00,22.10
Bandarawela,2016,6,366.00,22.02
Bandarawela,2016,7,292.00,22.27
Bandarawela,2016,8,274.00,22.32
Bandarawela,2016,9,236.00,22.54
Bandarawela,2017,1,185.00,17.95
Bandarawela,2017,10,224.00,20.31
Bandarawela,2017,11,334.00,18.91
Bandarawela,2017,12,212.00,18.51
Bandarawela,2017,2,133.00,18.16
Bandarawela,2017,3,180.00,19.32
Bandarawela,2017,4,88.00,21.25
Bandarawela,2017,5,172.00,21.63
Bandarawela,2017,6,107.00,21.74
Bandarawela,2017,7,100.00,22.43
Bandarawela,2017,8,150.00,21.21
Bandarawela,2017,9,150.00,20.30
Bandarawela,2018,1,149.00,17.68
Bandarawela,2018,10,368.00,19.32
Bandarawela,2018,11,348.00,18.94
Bandarawela,2018,12,207.00,18.46
Bandarawela,2018,2,154.00,18.76
Bandarawela,2018,3,210.00,19.35
Bandarawela,2018,4,198.00,19.89
Bandarawela,2018,5,243.00,20.18
Bandarawela,2018,6,125.00,20.87
Bandarawela,2018,7,132.00,20.76
Bandarawela,2018,8,163.00,20.74
Bandarawela,2018,9,197.00,20.51
Bandarawela,2019,1,169.00,18.12
Bandarawela,2019,10,400.00,19.12
Bandarawela,2019,11,313.00,19.15
Bandarawela,2019,12,358.00,18.90
Bandarawela,2019,2,232.00,19.10
Bandarawela,2019,3,132.00,19.52
Bandarawela,2019,4,214.00,20.61
Bandarawela,2019,5,194.00,21.02
Bandarawela,2019,6,82.00,21.89
Bandarawela,2019,7,114.00,21.64
Bandarawela,2019,8,193.00,20.73
Bandarawela,2019,9,242.00,20.13
Bandarawela,2020,1,166.00,18.69
Bandarawela,2020,10,133.00,20.86
Bandarawela,2020,11,341.00,19.38
Bandarawela,2020,12,327.00,18.76
